source,method,path,description,params
Health,GET,/,Service index: lists every data source and its endpoint groups. Use to discover what is available.,
Health,GET,/health,"Health / liveness check. Public, no key. Use for uptime monitoring and readiness probes.",
FRED,GET,/fred,Keyword search across FRED's 800K-series catalog; returns series IDs to fetch above. Use when you don't know the exact series ID.,"q (query, string); limit (query, integer, default 10, max 100)"
FRED,GET,/fred/{series_id},"One US macroeconomic time series by FRED series ID. Use for: GDP, inflation, consumer prices/CPI (CPIAUCSL), unemployment rate (UNRATE), Fed funds / interest rates (FEDFUNDS), Treasury yields (DGS10), money supply (M2), S&P 500 (SP500), industrial production, recession indicators — any US macro indicator.","series_id (path, string, required); limit (query, integer, default 10, max 1000)"
EDGAR,GET,/edgar/company/{cik},"SEC company profile and filing history (10-K, 10-Q, 8-K, S-1, etc.) by CIK or ticker (e.g. AAPL). Use for: company metadata, recent filings, fiscal year end, SIC industry, exchange, addresses, former names.","cik (path, string, required)"
EDGAR,GET,/edgar/concept/{cik}/{concept},"History of one XBRL concept for one company (e.g. Revenues, NetIncomeLoss, Assets, CashAndCashEquivalents). Use to track a single financial metric over time.","cik (path, string, required); concept (path, string, required); taxonomy (query, string, default us-gaap)"
EDGAR,GET,/edgar/financials/{cik},"All XBRL financial facts for a company across years. Use for: revenue, net income, assets, liabilities, cash, equity, EPS, R&D spend — the full financial-statement dataset.","cik (path, string, required)"
EDGAR,GET,/edgar/frames/{concept},One financial concept across ALL public companies for a period — cross-company comparison in a single call. Use to rank or compare revenue / assets / net income across thousands of filers.,"concept (path, string, required); unit (query, string, default USD); period (query, string, default CY2023); taxonomy (query, string, default us-gaap)"
EDGAR,GET,/edgar/search,"Full-text search inside SEC filing documents. Use for: which companies mention a topic (AI, climate risk, layoffs, a competitor, a country like Ukraine, a product) in their filings; filter by form type (forms=) and filing-date range (startdt/enddt, YYYY-MM-DD, covers 2001+).","q (query, string, required); forms (query, string); limit (query, integer, default 10, max 100); startdt (query, string); enddt (query, string)"
Nasdaq,GET,/nasdaq/dividends/{ticker},Dividend payment history (ex-date and amount) for a ticker.,"ticker (path, string, required); asset_class (query, string, default stocks)"
Nasdaq,GET,/nasdaq/history/{ticker},"Daily OHLCV price history (open, high, low, close, volume) between two dates.","ticker (path, string, required); fromdate (query, string, required); todate (query, string, required); limit (query, integer, default 30, max 260); asset_class (query, string, default stocks)"
Nasdaq,GET,/nasdaq/price/{ticker},"Current price, bid/ask, day volume, and percent change for a ticker.","ticker (path, string, required); asset_class (query, string, default stocks)"
Nasdaq,GET,/nasdaq/quote/{ticker},"Stock quote summary: market cap, sector, industry, P/E, dividend yield, 52-week high/low. Quick snapshot of a listed company.","ticker (path, string, required); asset_class (query, string, default stocks)"
yfinance,GET,/yfinance/dividends/{ticker},Dividend payment history (amounts and dates).,"ticker (path, string, required)"
yfinance,GET,/yfinance/financials/{ticker},"Income statement, balance sheet, and cash-flow statement (annual + quarterly).","ticker (path, string, required)"
yfinance,GET,/yfinance/history/{ticker},"OHLCV price history with flexible period (1d..max) and interval (1m..1mo). Use for charts, returns, volatility.","ticker (path, string, required); period (query, string, default 1mo); interval (query, string, default 1d)"
yfinance,GET,/yfinance/holders/{ticker},"Ownership: major holders, institutional holders, and mutual-fund holders.","ticker (path, string, required)"
yfinance,GET,/yfinance/info/{ticker},"Deepest single-call company profile (~140 fields): market cap, P/E, EPS, beta, profit margins, ROE, debt, free cash flow, analyst price targets, sector, employees, business summary.","ticker (path, string, required)"
yfinance,GET,/yfinance/news/{ticker},Recent news headlines and article links tied to a ticker.,"ticker (path, string, required)"
yfinance,GET,/yfinance/options/{ticker},"Options chain: expiry dates, calls and puts, strikes, implied volatility, open interest.","ticker (path, string, required); expiry (query, string)"
yfinance,GET,/yfinance/recommendations/{ticker},Analyst recommendation history (buy / hold / sell ratings over time).,"ticker (path, string, required)"
USAspending,GET,/usaspending/agencies,List of federal agencies (names and IDs) for filtering spending queries.,
USAspending,GET,/usaspending/by-agency,Federal spending totals grouped by agency for a fiscal year / quarter.,"fy (query, string, default 2025); quarter (query, string, default 1)"
USAspending,GET,/usaspending/search,"Search federal awards (contracts and grants) by keyword. Use for: who received federal money, contractors/recipients, award amounts, defense or agency spending.","q (query, string, required); start_date (query, string); end_date (query, string); limit (query, integer, default 10, max 100)"
Census,GET,/census/acs,"Raw American Community Survey query — any ACS variables and geography (state / county / tract). Use for: demographics, race, age, sex, education, income, poverty, housing, commute — any ACS table by variable code.","variables (query, string, default NAME,B01001_001E); year (query, integer, default 2022); geo_for (query, string, default state:*); geo_in (query, string)"
Census,GET,/census/income,Median household income by US state.,"year (query, integer, default 2022)"
Census,GET,/census/population,Population by US state.,"year (query, integer, default 2022)"
BLS,GET,/bls/{series_id},"US labor statistics series by ID. Use for: unemployment rate, nonfarm payroll employment, CPI inflation, PPI, average hourly earnings. Shortcut IDs: unemployment, cpi, nonfarm_employment, ppi, hourly_earnings.","series_id (path, string, required); start_year (query, integer, default 2024); end_year (query, integer, default 2026)"
Treasury,GET,/treasury/debt,"US national / public debt (debt to the penny): total outstanding, debt held by the public, intragovernmental holdings, by date.","limit (query, integer, default 5, max 100)"
Treasury,GET,/treasury/exchange,US Treasury reporting exchange rates (foreign-currency conversion rates used by the government).,"limit (query, integer, default 5, max 100)"
Treasury,GET,/treasury/rates,Average interest rates on outstanding US Treasury securities.,"limit (query, integer, default 5, max 100)"
FEC,GET,/fec/candidates,"Search federal candidates (President, Senate, House) by office and state. Campaign finance.","office (query, string); state (query, string); limit (query, integer, default 10, max 100)"
FEC,GET,/fec/contributions,Campaign contributions — itemized donations by or for a candidate or donor name.,"name (query, string); candidate_id (query, string); limit (query, integer, default 10, max 100)"
FEC,GET,/fec/totals,"Candidate financial totals (money raised / receipts), ranked, by office and election year.","office (query, string, default P); year (query, integer, default 2024); limit (query, integer, default 10, max 100)"
